DPPNNNNNNNBS 	CRBVVVSPPNNNNNBSZVVVVVSDPPNNNNNAS 
DNNNNNNNNBS 	CRBVVVSPNNNNASPPCRAVVSNNNNNNNATPCRAVVVVVTPNNNNNNNNNBTZVSPPNNNNNNNNBT 
PNNNAT 	CRAVVTPNNNNNBSPPCRBVVSPNASPPZVVVTDPPNNAS 
PNNNNNNNAT 	CRAVVVTPPNNNNNNNNNASPCRAVVSPPNBSPPZVVVVVTDDDPPNNNNNNNNAS 
PNNNNNNAT 	CRAVVTPNATPCRAVVVVVTPPNNNNNATPPCRAVVVVTPPNNNNBTPPZVVVVVTDDPNNBT 
PNNNNNAT 	CRAVVVVTNNNNNNBSPPZVVVVTDDPPNNNNNBT 
DDPPNNNNNAS 	CRAVVSPPNNNBSPCRBVVVVVSNNNNNNASPZVVSDPPNNNNAS 
DPPNNNNNNNNNAS 	CRAVVVVVSPNNNBSCRBVVVVSNATPCRAVVVVVTPNNATCRAVVTPNNNNNBTPZVVVSDPNNNNNNAS 
DDDNAT 	CRAVTNNNNNNATCRAVVVTPNNASPPCRAVVVVSPNNNNBSPPZVVVVVTDPPNNNNNNAS 
PPNNBS 	CRBVVVVVSPPNNNATZVVVSDDNNNNNNBT 
PPNNNNNNNAS 	CRAVVSNNNNNASPPCRAVVSPNNNNNNBSPZVVSDDDNNNNNNNNBT 
DPPNNNNNAT 	CRAVVVVVTPPNNNNNNNNBSPCRBVSPNNNNNBSPCRBVSPPNNBSPPZVVVTPPNNNNNNNNNBS 
DDDPPNNNNNNAT 	CRAVVVVTNNNBTPCRBVTPNNNNNNNNBSPPCRBVVVVVSNNNNNNNNNBTPCRBVVVVVTPNNBTPZVVVVVTDDPPNNNNNNAS 
DDPNNNNNNNAS 	CRAVSNNNNNNNNASPPCRAVSPPNNNNNNNNNBTPPCRBVVVTPPNNNNNNNNATZVVVVSDDPPNNNNAS 
NNBT 	CRBVVVTNNNBSCRBVVVVSPPNNNNNNNBSPPCRBVSNNNNNNBTCRBVTPPNNBSPPZVTDDDNNNBS 
NAT 	CRAVVVVTPNNNNNNNNBTPCRBVVVTNNNNASPCRAVVSPNNNNNBSZVVVVTDDPNNAS 
DDDNNNNNNNNAS 	CRAVVVVVSNNNNATCRAVVVTPPNASZVVSPPNNNAS 
DDPNNNNNNAT 	CRAVVVVVTPPNNBSPZVVVVTDPPNNNNNAS 
PPNNBT 	CRBVTNNNNASPPCRAVVVVVSPNNNNNNBSZVVVVTDDDNNNNNNNAS 
DPNAT 	CRAVVTPNNNNNNNATPPCRAVTPNNNASPPZVVVTDPNNNNNNBT 
DDPNNNAT 	CRAVTPNNNNNNNNBSCRBVVVSNNNNNBTPCRBVVTPPNNNNNNNBSCRBVVVVSPPNNNNNNNNASPZVTDPPNNNNBT 
DDDPPNNAT 	CRAVVVTPPNNNNNNNATPPZVVVTDDDPPNBT 
DDPNNNNNNAT 	CRAVVVVVTNNNNNNNBSPPCRBVVVVVSPNNNNNNNASPPCRAVVVSPPNNNNNNNATCRAVVTNNNNNATPPZVVVTDDPPNNNNNNNNAS 
NNNNNNAT 	CRAVVTPPNNNNASPCRAVVVVSPNNNBSPCRBVVSPNNNNBSPZVVTDDPPNNNNNNNNBT 
DPNNBS 	CRBVSNNNNNNASPPCRAVVVVSPNNNNNNATPZVVVSDDPPNNNAT 
NNBT 	CRBVVVVTNBTCRBVTNNBSPZVVVVVTNNBS 
PPNNNNNNNNBS 	CRBVVSPNNNNNNNNASZVSPPNNAS 
DDPPNNNNNNNBT 	CRBVVVVVTPNNNBSPCRBVVVVVSPNNNNNNATPPCRAVTNNNNNBSZVVVVVTPPNBT 
NAT 	CRAVVTNNNNNNNNNBTPCRBVVVVVTNASPPCRAVVVSPNNNNNBTCRBVVVVVTPNNNNNNNNBSPPZVTDDDNAT 
NNNNNAT 	CRAVTPPNNNNNNNNNBSPCRBVVVSPNNNNNNNNNASPCRAVVSPPNNNNNNNASZVVVVTPPNNAS 
DDDNNNNNBS 	CRBVVVVSNNNNNNATCRAVVTPNNNNBTPCRBVVVVVTNNNNNNNNNATPZVVVSDDNNNNNAS 
DDPNNNNNNNNBS 	CRBVVSPPNNNNNNNNATCRAVVVVVTPNNNATCRAVVVTNNNNNNNNNBSZVSDDNNNNNNBT 
DDDPNNAS 	CRAVVVVSNNNNNNNASPZVSDPNNNNNNNNBS 
DDPNNNAT 	CRAVVVTPPNNNNNNBTCRBVVVVTNNNNNBSPPCRBVVVVVSPPNNBSCRBVVSPNNBSZVVVVTDPPNNNNNNNNNBS 
DDDPPNAT 	CRAVVVVTPNNNNNNASPZVTDDDPPNAS 
DDPPNNNNNNNNAS 	CRAVSNNBTPZVVSPNNNAS 
DDDPPNNNNNNNNNBT 	CRBVTNNNNNASCRAVVVVVSPNNNBSPPCRBVVVVVSPNNNNNNATPPZVVVTDDDPNNNAT 
DDPNNNNNNNNAS 	CRAVVSPNNNNNNNNBSPPZVVVVVSPNNNNNNNNBT 
DDDPNNNBS 	CRBVSPNASZVVVVVSDDDPPNNNNNNNNAS 
PNNNNNNNNBS 	CRBVSNNNNBSPZVSDPPNNNNNBS 
DDDPNNNNNNNNNAT 	CRAVVVVTPNNNNNNNNNATZVVVVVTPPNNNNNNNNNAS 
DDNNAT 	CRAVVVVTNNNBSZVVVTDNNAT 
DDDPNNNNNNNBS 	CRBVVVVVSPNNNBTPCRBVVVTPNNBSCRBVVVVVSNNNNNNNATPZVVVVSDDDPNNNNNBS 
DNBT 	CRBVTPPNNNNBSPPCRBVVVSNNNNNNNASPCRAVVVSNNNNBSPZVTDPNNNNNNNAS 
DNNNNNAS 	CRAVVVVSPPNNNNNNNBTPCRBVVVVVTPNNNNATPPCRAVVTPNNNNNNNNNBSPZVVVVSDPNNNNNNNNNBT 
DNNAT 	CRAVVVVVTPNNNNNNNATCRAVTNASPCRAVSPNNNNNASCRAVVVSPNNNNNNBSZVTDDDPNNNBS 
DDNNNNNNNNBS 	CRBVVVVVSPPNNNNNNNNNBTPCRBVVTPPNNNNNNNASPZVSDNNNNNNNAS 
PPNNNNNNAT 	CRAVVTPNNNNNNNNNBTPPZVVVVVTPNNNNNNNNNAS 
PNNBS 	CRBVVVVSPNNNNNNNNATPPZVSDNNNNBT 
PNNBS 	CRBVVSPNNBTPPCRBVVVVVTPNNNNNNNNATPPCRAVTPPNNNNNATPPZVVSDDDPPNNBS 
DDPPNNNNBS 	CRBVVVSPNNNNATPPCRAVVVVVTPPNNNNNNNNNBSPPZVVVVVSPPNNNNNNNBS 
DPNNNNNNBT 	CRBVTPPNBTPPCRBVTNBSCRBVVVVSPPNNNNNNNBSPPCRBVSPNNNNATZVVTDPNNBS 
DDNNNNNAS 	CRAVVVVSNNNNNBSPPCRBVVVSNNASCRAVSPPNNNNNNNNBSPPZVSDDDPNNNNNNNNNBS 
DDNNNNBT 	CRBVTNASPPCRAVVVVVSPNNNNNNNBSPCRBVVSNNASPPCRAVVVVVSPNNATPZVVVVVTDDDPPNNNNNNNNNBT 
PPNNNNNBS 	CRBVVVSPNNNASPZVVSDDDNNNNNNNNNAT 
DNNBS 	CRBVSPPNNNNNNNNNASPPCRAVVVVVSPNNNNNNNATZVSDDPNNNNBT 
DPNNAT 	CRAVVTPNNNNNNNBSPPCRBVVVVVSPNNNNNNNATPZVVTDDPPNNNNNNBS 
DPPNNNNNNBS 	CRBVSNNNNNNNNNASPPCRAVVVSPNNNNNNNATPPCRAVVVVTPNNNNNNNATPZVVSDPNNNNNNAT 
DDNNNNNNNAT 	CRAVVTPPNNNNNNBSPPCRBVVVVVSPNNNNNNNASPZVVTDNNNNNNNNBS 
DDDNAS 	CRAVSNNNNNNNASPZVVVVSDDNNNNNNNNAT 
DDDPNNNNAT 	CRAVVVVTPPNNNNNNATPCRAVTPPNNNNNNNATPCRAVTPNNATPZVVVVVTDDNNNBT 
NNNNNNNNAS 	CRAVVSPPNNNNNNNNASPPZVVSDDPPNNNNNNNBT 
DDDNAS 	CRAVVVVVSPPNNNNNNBSPPCRBVSPPNNNNNATPCRAVVVVTPPNNNNBTPPCRBVVVTNNNNBTPPZVSDNNNNBT 
DNNNBS 	CRBVVVVVSPPNNATPCRAVVVVTPNNATPCRAVVVVVTPNNNNNNASCRAVVVSNNNNNNNNNBSPZVSPNNNNAS 
PPNAS 	CRAVVVVVSPPNNNNATPPCRAVVTNNNNNNNATPPCRAVVVTPPNNNATPCRAVVVVVTPPNNNNATZVVVVSPPNNNNNNNNNAS 
DDDPPNNBT 	CRBVVVTPNNNNNNATCRAVVVVVTNNNNNBTPCRBVVTPNNBSPPZVVVVTDDDPNNAS 
DDPPNNNBT 	CRBVVVVVTPNNNNNNNNBSPPZVVTDPPNNNNNNNAT 
DDDNNNNNNNNNAS 	CRAVVVVVSPNBSPCRBVVVSPPNNNNBSCRBVVVSNNNNNNBSPPCRBVSPPNNNNNNASZVSDDDNBT 
PPNNNNNNBT 	CRBVVVVTNNBTPPCRBVVVTPPNNNNNNNASCRAVVVSNNNNNATPCRAVVTPPNNNNNBTPPZVVVTDDPPNNNNNNNBT 
DDNNNNNBT 	CRBVVTNNASPCRAVSNNBTCRBVTNNNNNNNNBTPPZVVTDDPPNNNNBT 
DDPNNNNNNNNNAT 	CRAVVVVTPNNNNNNNNNASPZVVVTDDDPPNNNNNNNNNBS 
DDPNNNNNBS 	CRBVVVVVSPPNNNBSPCRBVVVSPPNNNNNATPZVVVVSDPNNNNNNNBS 
PPNNNNNNNNAS 	CRAVVVSNNNNASCRAVVSPNNNNNNNNNBSPPCRBVVVVVSPPNNBTZVVVVSDNNNNAS 
